Boston;42.3451;-71.0993
Lewiston;44.1003;-70.2148
Dallas;32.7673;-96.7776
Cambridge;42.3751;-71.1056
Boston;42.3477;-71.0384
Burlington;42.5048;-71.1956
Belmont;42.3959;-71.1787
Beaverton;45.5222;-122.8593
Watertown;42.3722;-71.1787
Boston;42.3605;-71.0548
Philadelphia;39.9597;-75.1968
Bowie;33.5590;-97.8487
Morristown;40.7968;-74.4815
Washington;38.8749;-77.0325
Cambridge;42.3800;-71.1329
Staten Island;40.5453;-74.1786
North Wales;40.2109;-75.2782
Indianapolis;39.7724;-86.1600
Waterford;42.6465;-83.3554
Okemos;42.7223;-84.4275
Indianapolis;39.9042;-86.2341
Celina;40.5489;-84.5702
Chicago;41.8825;-87.6441
Shakopee;44.7980;-93.5269
Clearwater;27.9839;-82.7181
Omaha;41.2079;-96.1183
Washington;40.7584;-74.9793
San Francisco;37.7898;-122.3942
Shaw A F B;33.9753;-80.4610
Mountain View;37.3885;-122.0741
Fort Payne;34.4442;-85.7197
Sanford;35.4799;-79.1803
Irving;32.8795;-96.9398
Austin;30.3042;-97.6857
Traverse City;44.7805;-85.7289
Hickory;35.6767;-81.3850
Chicago;41.9224;-87.6524
Atlanta;33.8477;-84.2814
Syracuse;43.0481;-76.1474
Albion;42.2431;-84.7530
South Bend;41.6834;-86.2500
Chicago;41.9038;-87.6757
Sturtevant;42.6981;-87.8945
Logansport;40.7545;-86.3567
Perris;33.7818;-117.3317
Issaquah;47.5013;-122.0065
Morehead;38.1840;-83.4327
Saint Clair Shores;42.4655;-82.9013
Chicago;41.8801;-87.6272
Burton;42.9757;-83.6628
Chicago;41.8826;-87.6292
Crookston;47.7741;-96.6081
Warner Robins;32.5814;-83.6286
Vienna;38.9348;-77.2672
Nashville;36.1680;-86.7817
Friendswood;29.5294;-95.2010
Minneapolis;45.0059;-93.4305
Norwich;42.5312;-75.5235
Urbandale;41.6267;-93.7122
Omro;44.0394;-88.7443
Los Angeles;34.0530;-118.2642
Rosamond;34.9286;-118.4052
Perry;41.8386;-94.1072
Saint Paul;45.0101;-93.1519
Amarillo;35.2006;-101.8210
Evansville;37.9708;-87.4897
Southfield;42.4753;-83.2845
Flora;38.6689;-88.4856
Auburn Hills;42.6875;-83.2341
Lisle;41.8011;-88.0748
Naperville;41.7859;-88.1473
Batavia;41.8500;-88.3126
Normal;40.5142;-88.9906
Bloomington;40.4842;-88.9937
Morris;41.3573;-88.4212
Cary;35.7915;-78.7811
Streator;41.1209;-88.8354
Franklin Park;41.9353;-87.8656
Downers Grove;41.8089;-88.0112
Leominster;42.5251;-71.7598
Westmont;41.7959;-87.9756
Folsom;38.6729;-121.1488
Freer;27.8828;-98.6178
Oak Brook;41.8328;-87.9290
